date,account_name,campanha,id_campanha,veiculo,id_veiculo,ad_group_name,ad_name,start,end,objective,url_do_anuncio,utm_content,cost,impressions,link_clicks,video_play,video_watched_25,video_watched_50,video_watched_75,video_watched_100,post_reactions,post_shares,post_comments,engajamento_total,id,verba,custo_por_resultado_projetado,volume_esperado
2025-06-06,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_GABRIELA BAILAS REELS_ACAO_SBRAE_2025_PSMN0289,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkdzLsAOWD/,sbrae_2025_psmn0289,"458,6",82306,656,1884,1627,562,218,31,26,4,1,31,"2025-06-06-PSMN-82306-458,6-656",50440,2.5,20176
2025-06-06,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_VIC CERIDONO REELS_ACAO_SBRAE_2025_PSMN0290,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkicL_goW1/,sbrae_2025_psmn0290,"2717,94",308679,3331,8245,6479,3195,1301,795,255,13,7,275,"2025-06-06-PSMN-308679-2717,94-3331",50440,2.5,20176
2025-06-06,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_GABRIELA BAILAS STORIES_ACAO_SBRAE_2025_PSMN0292,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289133272779482,sbrae_2025_psmn0292,"51,03",4689,82,137,733,302,181,129,2,0,0,2,"2025-06-06-PSMN-4689-51,03-82",50440,2.5,20176
2025-06-06,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_VIC CERIDONO STORIES_ACAO_SBRAE_2025_PSMN0291,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289130216113121,sbrae_2025_psmn0291,"507,13",63111,1430,2779,14411,6007,3705,2709,157,4,2,163,"2025-06-06-PSMN-63111-507,13-1430",50440,2.5,20176
2025-06-07,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_GABRIELA BAILAS REELS_ACAO_SBRAE_2025_PSMN0289,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkdzLsAOWD/,sbrae_2025_psmn0289,"1145,06",262455,2109,4856,4244,1459,541,21,22,7,0,29,"2025-06-07-PSMN-262455-1145,06-2109",50440,2.5,20176
2025-06-07,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_VIC CERIDONO REELS_ACAO_SBRAE_2025_PSMN0290,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkicL_goW1/,sbrae_2025_psmn0290,"2355,18",338574,5553,10431,7229,3350,1369,1023,353,12,4,369,"2025-06-07-PSMN-338574-2355,18-5553",50440,2.5,20176
2025-06-07,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_GABRIELA BAILAS STORIES_ACAO_SBRAE_2025_PSMN0292,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289133272779482,sbrae_2025_psmn0292,"896,64",94028,4081,2124,11908,5235,3045,2033,248,5,2,255,"2025-06-07-PSMN-94028-896,64-4081",50440,2.5,20176
2025-06-07,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_VIC CERIDONO STORIES_ACAO_SBRAE_2025_PSMN0291,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289130216113121,sbrae_2025_psmn0291,"1281,68",170984,4439,7735,41965,17401,10718,7713,695,17,2,714,"2025-06-07-PSMN-170984-1281,68-4439",50440,2.5,20176
2025-06-08,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_GABRIELA BAILAS REELS_ACAO_SBRAE_2025_PSMN0289,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkdzLsAOWD/,sbrae_2025_psmn0289,"498,72",118890,1363,3345,3022,691,406,15,32,5,2,39,"2025-06-08-PSMN-118890-498,72-1363",50440,2.5,20176
2025-06-08,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_REELS_VIC CERIDONO REELS_ACAO_SBRAE_2025_PSMN0290,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKkicL_goW1/,sbrae_2025_psmn0290,"2009,07",276517,6013,10912,6856,3017,1546,1129,402,4,6,412,"2025-06-08-PSMN-276517-2009,07-6013",50440,2.5,20176
2025-06-08,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_GABRIELA BAILAS STORIES_ACAO_SBRAE_2025_PSMN0292,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289133272779482,sbrae_2025_psmn0292,"1497,12",185034,6806,4282,25464,10882,6199,4164,406,3,3,412,"2025-06-08-PSMN-185034-1497,12-6806",50440,2.5,20176
2025-06-08,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_STORIES_VIC CERIDONO STORIES_ACAO_SBRAE_2025_PSMN0291,2025-06-06,2025-06-15,Tráfego,https://www.facebook.com/518800083146142/posts/1289130216113121,sbrae_2025_psmn0291,"1727,48",296348,6645,13303,69844,29405,18258,13292,1413,23,7,1443,"2025-06-08-PSMN-296348-1727,48-6645",50440,2.5,20176
2025-06-09,Sebrae Nacional - DEBRITO,psmn,sbrae_2025_psmn,instagram,2,"2025_6_BR_TRAF_CPC_MULHERES DE 25 A 45 ANOS; INTERESSES EM EMPREENDEDORISMO, PEQUENOS NEGÓCIOS E MEI; COMPORTAMENTO VOLTADO A ENGAJAMENTO COM PERFIS DE NEGÓCIOS E INFLUENCIADORES DE GESTÃO",2025_6_BR_CARD_KV_ACAO_SBRAE_2025_PSMN0293,2025-06-06,2025-06-15,Tráfego,https://www.instagram.com/p/DKrvzH_gBFK/,sbrae_2025_psmn0293,"464,05",116702,1108,0,0,0,0,0,144,16,9,169,"2025-06-09-PSMN-116702-464,05-1108",50440,2.5,20176
